Input Entity,Entity Type,Resolved Name,InChIKey,InChIKey Link,SMILES,SMILES Link,PubChem CID,PubChem Link,ChEMBL ID,ChEMBL Link,ChemSpider ID,ChemSpider Link,RefSeq,GenBank,GenBank Link,Gene Link,Protein Link,Ensembl,Ensembl Link,UniProt,UniProt Link,CCDS,InterPro,InterPro Link,Validation Issues,KEGG
stearicc acid,chemical,STEARIC ACID,QIQXTHQIDYTFRH-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/QIQXTHQIDYTFRH-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC(=O)O,https://pubchem.ncbi.nlm.nih.gov/compound/5281,5281,https://pubchem.ncbi.nlm.nih.gov/compound/5281,CHEMBL46403,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL46403/,,,,,,,,,,,,,,,,
palmiticc acid,chemical,PALMITIC ACID,IPCSVZSSVZVIGE-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/IPCSVZSSVZVIGE-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(=O)O,https://pubchem.ncbi.nlm.nih.gov/compound/985,985,https://pubchem.ncbi.nlm.nih.gov/compound/985,CHEMBL82293,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL82293/,,,,,,,,,,,,,,,,
linoleicc acid,chemical,LINOLEIC ACID,OYHQOLUKZRVURQ-HZJYTTRNSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/OYHQOLUKZRVURQ-HZJYTTRNSA-N,CCCCCC=CCC=CCCCCCCCC(=O)O,https://pubchem.ncbi.nlm.nih.gov/compound/5280450,5280450,https://pubchem.ncbi.nlm.nih.gov/compound/5280450,CHEMBL267476,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL267476/,,,,,,,,,,,,,,,"SMILES mismatch: {'CCCCC/C=C\\C/C=C\\CCCCCCCC(=O)O', 'CCCCCC=CCC=CCCCCCCCC(=O)O'}",
arachidonnic acid,chemical,ARACHIDONIC ACID,YZXBAPSDXZZRGB-DOFZRALJSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/YZXBAPSDXZZRGB-DOFZRALJSA-N,CCCCCC=CCC=CCC=CCC=CCCCC(=O)O,https://pubchem.ncbi.nlm.nih.gov/compound/444899,444899,https://pubchem.ncbi.nlm.nih.gov/compound/444899,CHEMBL15594,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL15594/,,,,,,,,,,,,,,,"SMILES mismatch: {'CCCCC/C=C\\C/C=C\\C/C=C\\C/C=C\\CCCC(=O)O', 'CCCCCC=CCC=CCC=CCC=CCCCC(=O)O'}",
melattonin,chemical,MELATONIN,DRLFMBDRBRZALE-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/DRLFMBDRBRZALE-UHFFFAOYSA-N,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,https://pubchem.ncbi.nlm.nih.gov/compound/896,896,https://pubchem.ncbi.nlm.nih.gov/compound/896,CHEMBL45,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL45/,,,,,,,,,,,,,,,"SMILES mismatch: {'CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC', 'COc1ccc2[nH]cc(CCNC(C)=O)c2c1'}",
gamma-amino butyrate,chemical,GAMMA-AMINOBUTYRIC ACID,BTCSSZJGUNDROE-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/BTCSSZJGUNDROE-UHFFFAOYSA-N,C(CC(=O)O)CN,https://pubchem.ncbi.nlm.nih.gov/compound/119,119,https://pubchem.ncbi.nlm.nih.gov/compound/119,CHEMBL96,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL96/,,,,,,,,,,,,,,,"SMILES mismatch: {'NCCCC(=O)O', 'C(CC(=O)O)CN'}",
glutatmate,chemical,ARGININE GLUTAMATE,WHUUTDBJXJRKMK-VKHMYHEASA-N,https://pubchem.ncbi.nlm.nih.gov/compound/WHUUTDBJXJRKMK-VKHMYHEASA-N,C(CC(=O)O)C(C(=O)O)N,https://pubchem.ncbi.nlm.nih.gov/compound/33032,33032,https://pubchem.ncbi.nlm.nih.gov/compound/33032,CHEMBL2104514,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2104514/,,,,,,,,,,,,,,,"SMILES mismatch: {'N=C(N)NCCC[C@H](N)C(=O)O.N[C@@H](CCC(=O)O)C(=O)O', 'C(CC(=O)O)C(C(=O)O)N'}",
acetaldehyyde,chemical,ACETALDEHYDE,IKHGUXGNUITLKF-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/IKHGUXGNUITLKF-UHFFFAOYSA-N,CC=O,https://pubchem.ncbi.nlm.nih.gov/compound/177,177,https://pubchem.ncbi.nlm.nih.gov/compound/177,CHEMBL170365,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL170365/,,,,,,,,,,,,,,,,
methanolll,chemical,METHYL ALCOHOL,OKKJLVBELUTLKV-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/OKKJLVBELUTLKV-UHFFFAOYSA-N,CO,https://pubchem.ncbi.nlm.nih.gov/compound/887,887,https://pubchem.ncbi.nlm.nih.gov/compound/887,CHEMBL14688,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL14688/,,,,,,,,,,,,,,,,
acettic acid,chemical,ACETIC ACID,QTBSBXVTEAMEQO-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/QTBSBXVTEAMEQO-UHFFFAOYSA-N,CC(=O)O,https://pubchem.ncbi.nlm.nih.gov/compound/176,176,https://pubchem.ncbi.nlm.nih.gov/compound/176,CHEMBL539,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL539/,,,,,,,,,,,,,,,,
